순위,개봉일,촬영시작일,제목,감독,주연배우,배급사,누적관객
1,20140730,20130108,명량,김한민,"최민식, 류승룡",CJ엔터테인먼트,17615437
2,20190123,20180329,극한직업,이병헌,"류승룡, 이하늬, 진선규, 이동휘, 공명",CJ엔터테인먼트,16265618
3,20171220,20160526,신과함께-죄와벌,김용화,"하정우, 차태현, 주지훈, 김향기",롯데엔터테인먼트,14411502
4,20141217,20130814,국제시장,윤제균,"황정민, 김윤진, 오달수, 정진영, 장영남, 라미란, 김슬기",CJ엔터테인먼트,14263203
5,20190424,20170810,어벤져스:엔드게임,루소 형제,"로버트 다우니 주니어, 제레미 레너, 크리스 헴스워스, 마크 러팔로, 크리스 에반스, 스칼렛 요한슨",월트 디즈니 컴퍼니 코리아,13934592
6,20191121,20170901,겨울왕국2,"크리스 벅, 제니퍼 리",,월트 디즈니 컴퍼니 코리아,13747792
7,20150805,20140316,베테랑,류승완,"황정민, 유아인, 오달수, 유해진, 천호진",CJ엔터테인먼트,13414200
8,20091217,20070416,아바타,제임스 카메론,"샘 위딩턴, 조 샐다나",20세기 폭스 코리아,13338863
9,20060727,20050629,괴물,봉준호,"송강호, 변희봉, 박해일, 배두나, 고아성",쇼박스,13019740
10,20120725,20110614,도둑들,최동훈,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현",쇼박스,12983976
11,20130123,20120620,7번방의 선물,이환경,"류승룡, 갈소원, 오달수, 박원상, 김정태, 정만식, 박상면, 김기천, 정진영, 박신혜",넥스트엔터테인먼트 월드,12811435
12,20150722,20140827,암살,최동훈,"전지현, 이정재, 하정우, 조승우, 오달수, 조진웅, 최덕문, 김해숙, 이경영, 김의성, 박병은",쇼박스,12706819
13,20190524,20170906,알라딘,가이 리치,"미나 마수드, 나오미 스콧, 윌 스미스",월트 디즈니 컴퍼니 코리아,12551982
14,20120913,20120212,"광해, 왕이 된 남자",추창민,"이병헌, 류승룡, 한효주",CJ엔터테인먼트,12324002
15,20051229,20050701,왕의 남자,이준익,"감우성, 정진영, 강성연, 이준기",시네마 서비스,12302831
16,20180801,20160526,신과함께-인과연,김용화,"하정우, 주지훈, 김향기, 마동석, 김동욱",롯데엔터테인먼트,12276115
17,20170802,20160605,택시운전사,장훈,"송강호, 유해진, 류준열, 토마스 크레취만",쇼박스,12189355
18,20040205,20030210,태극기 휘날리며,강제규,"장동건, 원빈, 이은주, 공형진",쇼박스,11746135
19,20160720,20150426,부산행,연상호,"공유, 정유미, 마동석, 최우식, 안소희, 김의성, 김수안",넥스트엔터테인먼트 월드,11567341
20,20090722,20080818,해운대,윤제균,"설경구, 하지원, 박중훈, 엄정화",CJ엔터테인먼트,11453338
21,20131218,20130409,변호인,양우석,"송강호, 김영애, 오달수, 곽도원, 임시완, 이성민",넥스트엔터테인먼트 월드,11374892
22,20180425,20170123,어벤져스:인피니티 워,루소 형제,"로버트 다우니 주니어, 조시 브롤린, 크리스 헴스워스, 마크 러팔로, 크리스 에반스, 스칼렛 요한슨",월트 디즈니 컴퍼니 코리아,11212710
23,20031224,20030301,실미도,강우석,"설경구, 안성기, 허준호, 정재영",시네마 서비스,11081000
24,20150423,20140211,어벤져스:에이지 오브 울트론,조스 웨던,"로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼렛 요한슨",월트 디즈니 컴퍼니 코리아,10494840
25,20190530,20180518,기생충,봉준호,"송강호, 이선균, 조여정, 최우식, 박소담, 장혜진, 이정은, 박명훈",CJ엔터테인먼트,10309809
26,20141106,20130812,인터스텔라,크리스토퍼 놀란,"매튜 매커너히, 앤 헤서웨이, 제시카 채스테인, 마이클 케인",워너 브라더스 코리아,10309432
27,20140116,20120305,겨울왕국,"크리스 벅, 제니퍼 리",,월트 디즈니 컴퍼니 코리아,10303058
